uid,player_id_x,horizon_xpts,mean_reliability,player_key,player_id_y,web_name,team_id,team_short,position,now_cost,status,chance_of_playing_next_round,chance_of_playing_this_round,score
90585,514,29.631005921603137,0.8792746963666176,90585.0,514,Boly,16,NFO,DEF,4.0,a,,,28.557842265548707
590760,99,24.269481126546765,0.9957742655481459,590760.0,99,Adu-Adjei,4,BOU,FWD,4.5,a,,,24.238714211789244
184349,328,23.69505484867303,0.9924811579876744,184349.0,328,Sessegnon,10,FUL,MID,5.5,d,75.0,,23.641607036508862
436893,78,22.704201190547725,0.8334807649943942,436893.0,78,J.Araujo,4,BOU,DEF,4.0,a,,,21.569995326448712
532529,163,21.358105069125482,0.8919723782108864,532529.0,163,Hinshelwood,6,BHA,MID,5.5,a,,,20.66592548016359
607464,110,21.226209937590344,0.9868709825490619,607464.0,110,Kayode,5,BRE,DEF,4.5,a,,,21.142606153383973
432830,106,19.338240402215863,0.8062281315934913,432830.0,106,Collins,5,BRE,DEF,5.0,a,,,18.214078309886382
427637,350,18.87165125275515,0.9919179314235004,427637.0,350,Aaronson,11,LEE,MID,5.5,a,,,18.825894658882184
244851,235,18.849807864957384,0.9958490035723041,244851.0,235,Palmer,7,CHE,MID,10.5,a,,,18.826334219424325
513433,162,18.800819878974213,0.8754625483363185,513433.0,162,Gruda,6,BHA,MID,5.5,a,,,18.098398019899612
515597,44,17.97049133796022,0.8437361226202733,515597.0,44,Bogarde,2,AVL,DEF,4.0,a,,,17.12804974149368
200720,101,16.217531245983672,0.8845808801006354,200720.0,101,Kelleher,5,BRE,GKP,4.5,d,75.0,,15.655987290978107
51943,185,15.98427715342289,0.8245733548381011,51943.0,185,Hladký,3,BUR,GKP,4.0,a,,,15.143056718513998
437505,560,15.481087229797755,0.7846805283359067,437505.0,560,Isidor,17,SUN,FWD,5.5,a,,,14.481073372866016
499309,252,15.425051825605047,0.728059817579595,499309.0,252,Marc Guiu,17,SUN,FWD,4.5,a,100.0,,14.166644403415274
